danbai,dan,danhong,hong,jiang,anhong,honghuang,qingzi,danzi,brightness,label,,
59,16,4,0,0,21,0,0,0,124.9557421,danhong,,
5,24,30,28,0,4,0,3,5,162.9496204,danhong,,
0,0,27,2,0,0,71,0,0,171.5635627,danhong,,
0,0,4,6,0,0,90,0,0,145.0038094,danhong,,
0,4,59,11,0,3,24,0,0,160.4906634,danhong,,
60,22,3,0,0,12,2,0,0,102.6795508,danhong,,
0,0,1,35,0,0,64,0,0,163.4019869,danhong,,
0,0,47,26,0,2,26,0,0,139.1225091,danhong,,
30,38,24,1,0,7,0,0,1,144.1039884,danhong,,
0,0,22,4,0,0,74,0,0,154.4361432,danhong,,
0,0,31,30,0,0,39,0,0,178.8834689,danhong,,
51,29,10,2,0,7,0,0,1,155.4073973,danhong,,
42,40,12,0,0,5,1,0,0,153.6811341,danhong,,
0,31,48,17,0,2,0,0,0,167.8923435,danhong,,
41,37,13,0,0,2,0,0,7,142.8151547,danhong,,
56,28,9,0,0,7,0,0,0,189.9067002,danhong,,
12,66,15,2,0,3,1,0,0,195.1191791,danhong,,
86,11,0,0,0,3,0,0,0,108.6352834,danhong,,
0,0,37,58,0,4,1,0,0,154.7315931,danhong,,
2,61,28,6,0,2,0,0,0,149.4649626,danhong,,
91,9,0,0,0,0,0,0,0,163.7822621,danhong,,
73,10,2,0,0,3,0,0,12,127.5175679,danhong,,
19,41,34,2,0,4,0,0,0,142.2769792,danhong,,
0,36,46,14,0,3,2,0,0,152.409276,danhong,,
72,28,0,0,0,0,0,0,0,153.6303945,danhong,,
0,0,12,19,0,1,68,0,0,155.7639524,danhong,,
0,2,49,18,0,1,30,0,0,140.0719616,danhong,,
30,35,32,1,0,1,0,0,0,189.9880607,danhong,,
0,0,15,15,0,1,69,0,0,128.488985,danhong,,
13,19,59,6,0,2,0,0,0,173.153766,danhong,,
14,34,35,14,0,3,0,0,0,152.6435454,danhong,,
0,38,35,5,0,5,18,0,0,110.6030904,danhong,,
11,19,47,21,0,2,0,0,0,127.7483538,danhong,,
0,0,0,0,44,0,56,0,0,113.8801337,danhong,,
0,4,50,39,0,7,0,0,0,161.3216823,danhong,,
5,53,40,0,0,2,0,0,0,181.1136048,danhong,,
1,16,51,19,0,13,0,0,0,95.43570754,danhong,,
0,0,47,44,0,0,9,0,0,174.7318736,danhong,,
56,34,10,0,0,0,0,0,0,167.8294743,danhong,,
0,0,21,18,0,0,61,0,0,160.93818,danhong,,
0,18,60,5,0,4,14,0,0,171.1481387,danhong,,
0,14,59,18,0,7,3,0,0,151.1764901,danhong,,
0,18,28,23,0,2,29,0,0,118.7472507,danhong,,
51,40,9,0,0,0,0,0,0,180.6198934,danhong,,
0,0,69,29,0,0,2,0,0,165.1390988,danhong,,
0,32,61,4,0,3,0,0,0,169.2499142,danhong,,
54,34,8,3,0,2,0,0,0,167.8899438,danhong,,
0,0,50,44,0,5,1,0,0,168.7693458,danhong,,
0,6,48,7,0,0,39,0,0,186.0768135,danhong,,
3,30,48,9,0,11,0,0,0,155.7576216,danhong,,
91,9,0,0,0,0,0,0,0,163.7822621,danhong,,
43,26,8,0,0,24,0,0,0,105.8357852,danhong,,
62,19,1,0,0,0,0,0,18,168.1761268,danhong,,
82,14,3,0,0,0,2,0,0,163.4684479,danhong,,
37,56,7,0,0,0,0,0,0,202.8598853,danhong,,
14,34,35,14,0,3,0,0,0,152.6435454,danhong,,
27,19,31,0,0,1,22,0,0,147.570531,danhong,,
73,10,2,0,0,3,0,0,12,127.5175679,danhong,,
0,2,85,13,0,0,0,0,0,180.903565,danhong,,
2,61,28,6,0,2,0,0,0,149.4649626,danhong,,
16,26,52,4,0,2,1,0,0,182.4369503,danhong,,
2,32,45,20,0,0,1,0,0,180.5712348,danhong,,
23,23,11,3,0,19,21,0,0,124.2222355,danhong,,
49,38,9,1,0,2,1,0,0,121.8990273,danhong,,
36,42,14,3,0,4,0,0,1,121.8239272,danhong,,
43,38,17,1,0,0,0,0,0,152.1625894,danhong,,
0,0,60,18,0,0,21,0,0,177.0612077,danhong,,
35,48,13,4,0,1,0,0,0,157.7007943,danhong,,
6,47,43,3,0,0,0,0,0,148.4783391,danhong,,
37,62,1,0,0,1,0,0,0,122.579987,danhong,,
0,34,44,6,0,6,10,0,0,167.6620011,danhong,,
1,26,53,11,0,5,4,0,0,191.5315703,danhong,,
59,29,12,0,0,0,0,0,0,122.5518785,danhong,,
26,34,21,10,0,7,0,0,1,125.7471319,danhong,,
0,14,73,4,0,8,1,0,0,172.455293,danhong,,
0,12,44,13,0,1,30,0,0,160.6290167,danhong,,
13,37,29,5,0,16,0,0,0,158.4018027,danhong,,
68,27,5,0,0,0,0,0,0,171.837135,danhong,,
0,7,15,44,0,0,33,0,0,156.7554805,danhong,,
7,87,5,0,0,1,0,0,0,186.9725082,danhong,,
46,28,19,3,0,3,1,0,0,172.6460221,danhong,,
3,51,39,3,0,4,0,0,0,165.0011452,danhong,,
2,40,26,30,0,2,1,0,0,130.6722191,danhong,,
18,31,35,10,0,4,2,0,0,182.4646231,danhong,,
22,41,32,4,0,1,0,0,0,157.5599365,danhong,,
0,3,65,31,0,1,0,0,0,178.1456499,danhong,,
36,39,21,1,0,3,0,0,0,161.9035723,danhong,,
1,36,36,10,0,0,16,0,0,148.4087559,danhong,,
0,0,23,62,0,5,10,0,0,129.1082077,danhong,,
40,43,3,0,0,13,0,0,0,119.1402198,danhong,,
48,43,9,0,0,1,0,0,0,140.1292443,danhong,,
0,21,45,32,0,2,0,0,0,147.1416729,danhong,,
0,0,95,5,0,0,0,0,0,202.1350176,danhong,,
45,43,9,0,0,2,0,0,0,178.22161,danhong,,
41,36,17,1,0,3,2,0,0,148.0228861,danhong,,
6,18,48,22,0,2,4,0,0,140.4077075,danhong,,
79,18,2,0,0,1,0,0,0,144.8468835,danhong,,
36,47,15,0,0,1,1,0,0,154.9144308,danhong,,
24,33,26,7,0,11,0,0,0,126.0160172,danhong,,
52,36,11,0,0,1,0,0,0,152.9549224,danhong,,
39,42,15,1,0,0,3,0,0,149.3430013,danhong,,
5,18,42,29,0,6,0,0,0,154.4692911,danhong,,
18,33,31,8,0,6,4,0,0,126.0232442,danhong,,
19,41,33,3,0,2,2,0,0,142.2789467,danhong,,
31,36,18,7,0,8,0,0,0,127.0367698,danhong,,
43,30,5,0,0,20,1,0,0,145.5010764,danhong,,
63,28,6,0,0,2,0,0,0,142.8947032,danhong,,
40,34,12,2,0,12,0,0,0,139.2332936,danhong,,
37,44,13,2,0,5,0,0,0,139.0900374,danhong,,
19,43,20,3,0,16,0,0,0,132.7076514,danhong,,
15,33,40,5,0,2,4,0,0,146.5752884,danhong,,
13,58,21,4,0,1,4,0,0,155.6843295,danhong,,
36,44,15,2,0,3,0,0,0,135.1985379,danhong,,
9,27,11,25,0,0,0,7,21,123.3154796,danhong,,
18,31,7,1,0,16,0,1,26,116.0149839,danhong,,
29,45,20,1,0,5,0,0,0,125.1013979,danhong,,
5,27,27,39,0,2,0,0,0,171.7280639,danhong,,
1,2,9,22,0,32,33,0,0,136.761301,danhong,,
39,39,15,1,0,6,0,0,0,137.6046768,danhong,,
22,51,15,1,0,4,0,0,7,173.3762692,danhong,,
0,9,58,32,0,0,1,0,0,194.2657722,danhong,,
10,14,43,33,0,0,0,0,0,177.3392646,danhong,,
72,22,4,0,0,2,0,0,0,142.9346327,danhong,,
31,28,33,7,0,1,0,0,0,161.1837811,danhong,,
49,44,2,0,0,5,0,0,0,156.7159496,danhong,,
12,27,44,16,0,1,0,0,0,189.7894087,danhong,,
0,21,44,11,0,22,2,0,0,176.3194435,danhong,,
43,41,11,1,0,3,2,0,0,165.5455035,danhong,,
0,38,52,10,0,0,0,0,0,159.6997952,danhong,,
12,31,30,14,0,3,11,0,0,133.474805,danhong,,
30,33,22,10,0,0,0,0,6,162.3431684,danhong,,
9,51,22,3,0,15,1,0,0,176.0567013,danhong,,
0,0,12,41,0,2,45,0,0,134.7981614,danhong,,
4,20,31,45,0,1,0,0,0,141.7053362,danhong,,
13,26,40,11,0,2,7,0,0,197.7595415,danhong,,
3,28,25,29,0,9,6,0,0,128.1781445,danhong,,
83,12,3,0,0,1,0,0,0,181.7034759,danhong,,
97,3,0,0,0,0,0,0,0,198.2188483,danhong,,
23,22,23,21,0,5,7,0,0,146.9693583,danhong,,
14,31,32,7,0,3,13,0,0,133.6855634,danhong,,
5,60,28,3,0,3,0,0,0,181.0619648,danhong,,
0,25,39,29,0,2,5,0,0,156.916243,danhong,,
11,24,42,16,0,7,0,0,0,185.6835556,danhong,,
39,32,11,7,0,6,4,0,0,132.8209204,danhong,,
0,3,19,11,0,2,66,0,0,174.3379414,danhong,,
53,20,12,6,0,1,0,0,8,152.4365698,danhong,,
65,34,1,0,0,0,0,0,0,182.906512,danhong,,
47,35,17,1,0,0,0,0,0,167.6591571,danhong,,
63,29,8,1,0,0,0,0,0,152.1012296,danhong,,
36,30,26,8,0,0,0,0,0,151.7977335,danhong,,
1,26,36,34,0,1,0,0,0,165.938318,danhong,,
0,0,61,36,0,2,0,0,0,198.8523635,danhong,,
2,53,38,3,0,4,0,0,0,150.2292942,danhong,,
9,76,13,0,0,1,0,0,0,169.3802291,danhong,,
50,27,16,6,0,2,0,0,0,167.9894905,danhong,,
13,42,23,1,0,3,17,0,0,138.3975142,danhong,,
0,19,33,3,0,4,41,0,0,99.19596274,danhong,,
